PPI,Pathogen_protein,Host_protein,class
NSP3~Q5J8M3,NSP3,Q5J8M3,Negative
ORF3B~Q92643,ORF3B,Q92643,Negative
NSP4~Q9BQ48,NSP4,Q9BQ48,Negative
ORF7B~Q96JQ2,ORF7B,Q96JQ2,Negative
NSP10~Q30201,NSP10,Q30201,Negative
NSP6~Q9BQ39,NSP6,Q9BQ39,Negative
NSP16~Q09019,NSP16,Q09019,Negative
NSP5~Q5HYI8,NSP5,Q5HYI8,Negative
NSP3~Q9UPW5,NSP3,Q9UPW5,Negative
NSP13~Q9Y5I4,NSP13,Q9Y5I4,Negative
ORF14~P38435,ORF14,P38435,Negative
ORF9B~Q9H9E3,ORF9B,Q9H9E3,Negative
S~Q13439,S,Q13439,Negative
NSP7~Q92546,NSP7,Q92546,Negative
S~O75674,S,O75674,Negative
NSP9~Q53EZ4,NSP9,Q53EZ4,Negative
NSP9~Q7Z402,NSP9,Q7Z402,Negative
NSP8~Q96CP7,NSP8,Q96CP7,Negative
NSP2~P31040,NSP2,P31040,Negative
NSP6~A6NK89,NSP6,A6NK89,Negative
ORF6~Q8TBM7,ORF6,Q8TBM7,Negative
ORF7A~Q8TDX7,ORF7A,Q8TDX7,Negative
NSP10~Q9BZV1,NSP10,Q9BZV1,Negative
N~Q15800,N,Q15800,Negative
ORF6~Q8N490,ORF6,Q8N490,Negative
ORF8~Q8TAG9,ORF8,Q8TAG9,Negative
NSP12~Q07065,NSP12,Q07065,Negative
ORF8~O95197,ORF8,O95197,Negative
ORF9B~Q02818,ORF9B,Q02818,Negative
ORF6~Q9H6E5,ORF6,Q9H6E5,Negative
ORF3A~Q96PC5,ORF3A,Q96PC5,Negative
